Mes	Precio m2	Variación mensual	Variación trimestral	Variación anual
Agosto 2011	n.d.	n.d.	n.d.	n.d.
Julio 2011	n.d.	n.d.	n.d.	n.d.
Junio 2011	n.d.	n.d.	n.d.	n.d.
Mayo 2011	n.d.	n.d.	n.d.	n.d.
Abril 2011	n.d.	n.d.	n.d.	n.d.
Marzo 2011	n.d.	n.d.	n.d.	n.d.
Febrero 2011	n.d.	n.d.	n.d.	n.d.
Enero 2011	n.d.	n.d.	n.d.	n.d.
Diciembre 2010	n.d.	n.d.	n.d.	n.d.
Noviembre 2010	n.d.	n.d.	n.d.	n.d.
Octubre 2010	n.d.	n.d.	n.d.	n.d.
Septiembre 2010	n.d.	n.d.	n.d.	n.d.
Agosto 2010	n.d.	n.d.	n.d.	n.d.
Julio 2010	n.d.	n.d.	n.d.	n.d.
Junio 2010	n.d.	n.d.	n.d.	n.d.
Mayo 2010	n.d.	n.d.	n.d.	n.d.
Abril 2010	n.d.	n.d.	n.d.	n.d.
Marzo 2010	n.d.	n.d.	n.d.	n.d.
Febrero 2010	n.d.	n.d.	n.d.	n.d.
Enero 2010	n.d.	n.d.	n.d.	n.d.
Diciembre 2009	n.d.	n.d.	n.d.	n.d.
Noviembre 2009	n.d.	n.d.	n.d.	n.d.
Octubre 2009	n.d.	n.d.	n.d.	n.d.
Septiembre 2009	n.d.	n.d.	n.d.	n.d.
Agosto 2009	n.d.	n.d.	n.d.	n.d.
Julio 2009	n.d.	n.d.	n.d.	n.d.
Junio 2009	n.d.	n.d.	n.d.	n.d.
Mayo 2009	n.d.	n.d.	n.d.	n.d.
Abril 2009	n.d.	n.d.	n.d.	n.d.
Marzo 2009	n.d.	n.d.	n.d.	n.d.
Febrero 2009	n.d.	n.d.	n.d.	n.d.
Enero 2009	n.d.	n.d.	n.d.	n.d.
Diciembre 2008	n.d.	n.d.	n.d.	n.d.
Noviembre 2008	n.d.	n.d.	n.d.	n.d.
Octubre 2008	n.d.	n.d.	n.d.	n.d.
Septiembre 2008	n.d.	n.d.	n.d.	n.d.
Agosto 2008	n.d.	n.d.	n.d.	n.d.
Julio 2008	n.d.	n.d.	n.d.	n.d.
Junio 2008	n.d.	n.d.	n.d.	n.d.
Mayo 2008	n.d.	n.d.	n.d.	n.d.
Abril 2008	n.d.	n.d.	n.d.	n.d.
Marzo 2008	n.d.	n.d.	n.d.	n.d.
Febrero 2008	n.d.	n.d.	n.d.	n.d.
Enero 2008	n.d.	n.d.	n.d.	n.d.
Diciembre 2007	n.d.	n.d.	n.d.	n.d.
Noviembre 2007	n.d.	n.d.	n.d.	n.d.
Octubre 2007	n.d.	n.d.	n.d.	n.d.
Septiembre 2007	n.d.	n.d.	n.d.	n.d.
Agosto 2007	n.d.	n.d.	n.d.	n.d.
Julio 2007	n.d.	n.d.	n.d.	n.d.
Junio 2007	n.d.	n.d.	n.d.	n.d.
Mayo 2007	n.d.	n.d.	n.d.	n.d.
Abril 2007	n.d.	n.d.	n.d.	n.d.
Marzo 2007	n.d.	n.d.	n.d.	n.d.
Febrero 2007	n.d.	n.d.	n.d.	n.d.
Enero 2007	n.d.	n.d.	n.d.	n.d.
Diciembre 2006	n.d.	n.d.	n.d.	n.d.
Noviembre 2006	n.d.	n.d.	n.d.	n.d.
Octubre 2006	n.d.	n.d.	n.d.	n.d.
Septiembre 2006	n.d.	n.d.	n.d.	n.d.
Agosto 2006	n.d.	n.d.	n.d.	n.d.
Julio 2006	n.d.	n.d.	n.d.	n.d.
Junio 2006	n.d.	n.d.	n.d.	n.d.
Mayo 2006	n.d.	n.d.	n.d.	n.d.
Abril 2006	n.d.	n.d.	n.d.	n.d.
Marzo 2006	n.d.	n.d.	n.d.	n.d.
Febrero 2006	n.d.	n.d.	n.d.	n.d.
Enero 2006	n.d.	n.d.	n.d.	n.d.
